symbol,base_population,comparison,failure_bucket,clean_count,failure_count,clean_avg,failure_avg,avg_delta_clean_minus_failure,clean_median,failure_median,median_delta_clean_minus_failure,supports_higher_clean_displacement,contradicts_higher_clean_displacement,sample_too_small_to_interpret
ADAUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,10,3,0.5283203604792597,0.3648012804344847,0.163519080044775,0.5196434975178017,0.384474684584284,0.13516881293351768,True,False,False
XRPUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,15,1,0.4500170381472496,0.5660652583233227,-0.11604822017607308,0.4273247269463616,0.5660652583233227,-0.13874053137696107,False,True,True
LTCUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,9,4,0.46182231153783143,0.39792435933350606,0.06389795220432537,0.4510729217760267,0.4251750026834359,0.025897919092590815,True,False,False
DOGEUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,18,0,0.5157862104866817,,,0.5321386493515332,,,,False,True
NEARUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,15,2,0.4370391060703388,0.620539621092872,-0.18350051502253317,0.3888556665220594,0.620539621092872,-0.2316839545708126,False,True,True
ETCUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,11,1,0.46204094094778725,0.5137454941164318,-0.05170455316864453,0.4577378003945409,0.5137454941164318,-0.056007693721890905,False,True,True
AAVEUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,7,1,0.44404755969149706,0.5168311077409309,-0.07278354804943382,0.4045117122745947,0.5168311077409309,-0.11231939546633618,False,True,True
FILUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,21,53,0.5150742679232289,0.42023823391343507,0.09483603400979379,0.4804791341172815,0.432859077030864,0.04762005708641748,True,False,False
DOTUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,33,30,0.4289939276471809,0.3917115073130334,0.037282420334147526,0.3984395326581547,0.34045061888691563,0.05798891377123905,True,False,False
ATOMUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,18,38,0.4302468616270365,0.41642737252962875,0.013819489097407767,0.4420513341893152,0.43993280745115304,0.002118526738162152,True,False,False
UNIUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,19,23,0.379620430496656,0.35371685788778284,0.02590357260887316,0.3569538659493279,0.323475309998973,0.03347855595035487,True,False,False
ADAUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,10,26,0.5283203604792597,0.3617195637412092,0.16660079673805045,0.5196434975178017,0.3617252154301599,0.1579182820876418,True,False,False
XRPUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,15,19,0.4500170381472496,0.3728174724442815,0.0771995657029681,0.4273247269463616,0.3198099476165694,0.1075147793297922,True,False,False
LTCUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,9,25,0.46182231153783143,0.37982495173559605,0.08199735980223538,0.4510729217760267,0.3530421030643403,0.0980308187116864,True,False,False
DOGEUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,18,38,0.5157862104866817,0.45549442477279345,0.06029178571388827,0.5321386493515332,0.4737871371301866,0.0583515122213466,True,False,False
NEARUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,15,13,0.4370391060703388,0.4539047062939815,-0.016865600223642696,0.3888556665220594,0.5148655871421335,-0.1260099206200741,False,True,False
ETCUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,11,18,0.46204094094778725,0.37123854557624036,0.09080239537154688,0.4577378003945409,0.424302247957776,0.03343555243676488,True,False,False
AAVEUSDT,starter_short_signal,clean_followthrough_vs_all_non_clean,all_non_clean,7,15,0.44404755969149706,0.3710469872646798,0.07300057242681729,0.4045117122745947,0.3548458972937482,0.04966581498084649,True,False,False
