symbol,base_population,field,display_field,field_kind,is_major_candidate_field,expected_direction,observed_direction,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
ATOMUSDT,starter_short_signal,entry_short_resumption,entry_short_resumption,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_short_pullback,entry_short_pullback,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,False,higher_clean,flat,False,True,False,18,25,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,False,lower_clean,flat,False,True,False,18,25,0.0,0.0,0.0,0.0,0.0,0.0
